FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,BEL,Belgium,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,50478.0,50857.8,51494.6,51811.7,53430.3,54370.9,55392.1,57008.6,56812.8,55283.1,56265.0,56610.3,56381.7,56288.0,57028.1,57534.4,57927.0,58555.2,59383.9,60506.7,57358.8,60669.2,62744.2,62920.6,63083.2
A,Annual,BEN,Benin,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,2536.2,2591.1,2630.2,2639.0,2672.8,2632.5,2652.2,2729.1,2777.6,2758.1,2733.6,2732.0,2779.7,2893.0,2987.4,2952.0,2962.7,3041.8,3155.5,3281.1,3317.9,3464.3,3588.3,3721.2,3901.3
A,Annual,BFA,Burkina Faso,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,1428.6,1477.3,1494.7,1561.8,1581.3,1665.0,1714.8,1731.9,1779.3,1779.3,1874.0,1939.9,2003.7,2057.1,2083.2,2101.7,2162.7,2232.3,2316.4,2391.5,2380.9,2486.4,2466.1,2482.1,2547.9
A,Annual,BGD,Bangladesh,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,2712.9,2803.6,2866.4,2958.9,3071.8,3231.6,3407.4,3608.9,3787.9,3942.1,4125.5,4352.4,4592.0,4822.7,5068.6,5352.7,5682.5,6005.7,6392.6,6838.3,7015.2,7441.1,7888.2,8242.4,8486.8
A,Annual,BGR,Bulgaria,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,12559.0,13301.4,14391.4,15265.6,16382.6,17671.2,19017.2,20432.3,21837.5,21243.0,21715.9,22312.4,22610.1,22945.5,23446.4,24553.1,25626.8,26681.4,27739.5,29199.8,28545.7,30971.9,32433.1,33139.9,34083.2
A,Annual,BHR,Bahrain,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,57969.0,57280.7,55096.7,54431.9,54045.1,53478.3,52691.9,52731.8,52765.4,50665.8,50704.8,53132.3,54516.8,55376.4,55065.8,54149.9,54107.1,53859.8,54893.1,56750.0,53814.2,54954.7,57573.0,57819.9,59129.1
A,Annual,BHS,"Bahamas, The",FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,34597.1,35072.3,35610.6,34740.7,34617.7,35365.4,35789.0,35797.0,34497.9,32630.2,32711.4,32535.6,33667.5,32402.8,32712.7,32777.4,32172.2,33049.9,33650.2,33202.4,26452.5,31064.7,34342.8,35221.3,36244.0
A,Annual,BIH,Bosnia and Herzegovina,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,7827.9,7979.9,8363.9,8707.1,9341.7,9811.2,10426.9,11174.8,11979.7,11822.7,12138.8,12483.5,12622.7,13131.4,13454.4,14219.5,14873.1,15554.1,16348.1,17028.6,16746.4,18285.7,19297.1,19803.8,20428.5
A,Annual,BLR,Belarus,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,11182.5,11771.1,12443.9,13413.9,15052.1,16579.9,18349.9,20019.6,22137.9,22236.8,24012.6,25404.8,25879.1,26147.6,26564.4,25513.2,24846.8,25504.0,26363.5,26798.8,26731.5,27611.2,26537.5,27782.4,29037.5
A,Annual,BLZ,Belize,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,11352.7,11555.9,11816.6,12577.1,12794.8,12702.7,12900.1,12962.5,12398.5,12024.2,11868.4,11584.3,11761.6,12026.1,12249.2,12339.5,12062.8,11574.5,11486.8,11803.1,10032.5,11677.5,12569.8,12455.3,13277.9
