Date,Event Public Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
2025-09-20,"20 September 2025: Aid seekers near an INGO centre were fired upon by Israeli forces, killing three people and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.3008482874,34.2816458269,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118740,2025-10-13,2025-10-14
2025-09-20,"20 September 2025: Aid seekers near a GHF centre were fired upon by Israeli forces, killing one person and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.4540002809,34.4112396557,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118873,2025-10-16,2025-10-16
2025-09-19,"19 September 2025: Ad seekers near an INGO aid distribution centre were fired upon by Israeli forces, killing two Palestinians.",OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118685,2025-10-11,2025-10-14
2025-09-17,"17 September 2025: A gathering of displaced people waiting to receive humanitarian aid near a distribution centre, likely INGO, was hit by an Israeli airstrike, killing five and injuring more than 50 others. _x000D_
",OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118683,2025-10-11,2025-10-14
2025-09-16,16 September 2025: A Palestinian man was killed and an unspecified number of others injured by Israeli forcesâ€™ fire while waiting to receive humanitarian aid. ,OPT,PSE,Gaza Strip,31.4732506,34.4275729,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118802,2025-10-14,2025-10-14
2025-09-16,"16 September 2025: Aid seekers were fired upon by Israeli forces at a GHF centre, killing seven people and injuring 20 others. ",OPT,PSE,Gaza Strip,31.4540002809,34.4112396557,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118872,2025-10-16,2025-10-16
2025-09-15,"15 September 2025: Aid seekers in an INGO centre were fired upon by Israeli forces, killing two people._x000D_
",OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118679,2025-10-11,2025-10-14
2025-09-15,"15 September 2025: Aid seekers were fired upon by Israeli forces, killing five people.",OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118691,2025-10-12,2025-10-12
2025-09-14,"14 September 2025: Four Palestinians were killed and 25 others injured by Israeli forces gunfire while waiting to receive humanitarian aid near an INGO distribution centre._x000D_
",OPT,PSE,Gaza Strip,31.2927440756,34.2499006268,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118672,2025-10-11,2025-10-14
2025-09-13,"13 September 2025: Aid seekers near an INGO aid distribution centre were fired upon by Israeli forces, killing two people. _x000D_
",OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118677,2025-10-11,2025-10-14
